year,tagline
1995,"  A story about husbands, wives, parents, children and other natural disasters."
2006,  (V) Day of the Animals 30 Years Later
2013,  A tale of evil deeds and doomed love. Love is a tragedy waiting to happen.
1983,"  After he fulfills your deepest, lifelong dream...he'll tell you the price you have to pay. Don't whisper your dreams, someone may be listening. [UK] Ray Bradbury's classic tale of shadowy dreams come true Something frightening. Something strange. Something different. What would you give a man who could make your deepest dreams come true?"
1986,  Something Different Something Daring Something Dangerous
1970,  Never give a inch was the motto of the Stampers of Oregon. And live it they did!
2003,  Sometimes you need a friend... Sometimes you need the law on your side...
2008,  ...you can't stay lost forever...
1996,  (V) Some things are better left ... dead True evil never dies.
2006,  In Carpet Jim Trusts.
2004,"  Sometimes while trying to find yourself, you find someone else."
2008,  A world within the friends we find.
2009,  Where is home to you?
1999,  Sometimes . . . Imagination Is All You Have
1946,  Meet That Guild Gal...She gives as Good as She Gets! Somewhere in his mind!
1980,"  Some day in the past, he will find her. Someday in the past he will find her... Beyond fantasy. Beyond obsession. Beyond time itself... he will find her. He sacrificed life in the present... to find love in the past."
2004,"  Somewhere Near Kokoda three men are in a war. But beyond the battle, three actions and three choices determine thier fate."
2009,  Only one love. Only one take. And then what?
2008,  A film for those who never got the chance to play.
2011,  An Unexpected Love Story
2012,  Wine is fun right? How much do you know about wine?
1953,  A Picture for Wide Screens and Broad Minds En film om unga kâ€°nslor. Djâ€°rv! FrisprÃ‚kig! Chockerande!
1955,  Erwachende Liebe im Zauber der Midsommernacht!
1951,"  The most INTIMATE love story ever told An intimate love story - frank, fresh and delightful in its telling!"
2001,  (TV) Von harten Jobs in heiï¬‚en Zeiten
2013,  Ein Film Â¸ber Freiheit... und Bier (A movie about freedom... and beer)
2000,  (V) You begin to sweat... as these men ignite and burn with passion
1993,  She knew his face. His touch. His voice. She knew everything about him... But the truth.
2004,  life happens without warning
2009,"  Some Things Are Really Simple concerns the bankruptcy of the modern relationship. Despite good intentions, things develop towards an inevitable straining of a family."
2008,  (TV) Gimme Sommore!
2003,  Alasti hing. Hullumeelne pÄ±genemine. See on tema saatus.
2005,  El Terror EstÂ· En Tus SueÃ’os.
2011,"  In your dreams, no one can hear you scream"
2014,"  A US Marine, Scott Taylor is unable to distinguish between reality and dreams, so fears sleeping."
2007,"  (V) A story of friendship, love, and ping-pong."
2007,  A young boy tries to cope with the realities of his mother's abusive relationship.
1993,  He's a relative nightmare.
2010,  This time I'm delivering in person.
1974,  The First Rock-and-Roll Dracula Movie!
1963,  The Professor's Off and Flying... and FUN SCORES A NEW HIGH! The Professor's on the Loose Again... and FUN EXPLODES All Over the Place! The NUT gets a BOLT! HE PUTS A HALFBACK INTO ORBIT! HE'S THE LAFF OF THE PARTY! HE BLOWS UP A STORM! The Professor's OFF ... AGAIN! The Professor's AT IT AGAIN in the lab... and IT'S A BLAST! LOOK OUT! The Professor's newest invention is ON THE LOOSE! It's a FOOTBRAWL riot... It's a FROGMAN'S delight... It's a TEMPEST in a TEAPOT... It's the LAFF of the PARTY!
1939,  The black shadows of the past bred this half-man . . . half-demon ! . . . creating a new and terrible juggernaut of destruction !
2011,  Inspired by Fyodor Dostoevsky's The Grand Inquisitor
1932,  Fast Action! Hard Riding! (original poster)
2007,  Make Believe. Not War.
2008,  A blue-blooded life. A blue-collared struggle.
1955,  HOLD ON TO YOUR TURBANS! Here comes Adventure's boldest son!
2008,  Step inside the mind of a psychopath Look under the mask Journey to the center of a mentally ill artist's mind as he murders and convicts himself of crimes against his imagination. Journey to the center of a mentally ill artist's mind. Watch John murder and commit crimes against his imagination.
2005,  Who's next? The next generation of mischief The Power of Mischief Sequel to the #1 box-office hit.
1991,  (TV) Two great warriors. One final confrontation. The last great battle for the American Frontier.
1993,  Funny has a color all its own. Inspector Clouseau's biggest mistake lives on!
1947,  THE BOLDEST MAN IN THE WEST LIVES AGAIN...striking blow after blow against ruthless...reckless renegades!
1930,"  YOUTH, LOVE AND COMEDY WOVEN INTO A WISTFUL ROMANCE BY THE GOLDEN VOICE OF JOHN McCORMACK (original one-sheet poster - all caps) FAMED IRISH TENOR Gaining his popularity by his singing. Now again you chance to see and hear him."
2007,  Look to the sky for a little inspiration.
1936,"  Robeson In His Most Memorable Role!-Cast of Thousands In $500,000 Epic!"
1948,  ACTION MUSICAL stars go a-sparkin' and a-larkin' in SONG OF IDAHO
1944,"  YOU'LL CHEER! YOU'LL APPLAUD! YOU'LL LOVE ROY ROGERS in this new song-filled super-adventure! NEW! DIFFERENT! ROY ROGERS' BEST! Rich in romance, alive with adventure, studded with melody!"
1970,  A song for the heart to sing...for the world to love!
1947,  The THRILLING Music of RIMSKY-KORSAKOV Warm Lips...Exotic Nights!
2002,"  On the road of life, expect detours"
1943,"  A Rodeo of Rhythm, Action and Romance!"
1936,  The West's Own Singing Cowboy Star with His Horse White Flash With guns on hips...a song on his lips...Tex blazes his way through the outlaw gang...and finds romance at the end of the trail!
1970,"  A mystical love story... combining elements of Hudson's Green Mansions and the works of Jean Genet. Unique, inimitable and wholly unforgettable! The famous homosexual classic... is now a movie! Curious? Have you ever wondered about a love story between two men?"
1936,"  THE SCREEN'S BEST-WEST ACTION STAR! (re-release ad - all caps) ...The riding, shooting and singing sensation of the screen! (re-release ad) Watch His Dust....When He Rides! (original poster) Watch Your Step...When He Shoots! (original poster) Watch Your Gal...When He Sings! (original poster) The screen's new-west thrills is back again in the SECOND of the NEW WARNER WESTERNS! (original poster) See the old frontier days aflame again...as he makes his father's murderers their own executioners! (original poster) He's Back! With a new bag of tricks swinging from his saddle---And a new round of thrills blazing from his guns! Second of the NEW Warner Westerns The Screen's New-West Riding, Shooting and Singing Sensation!"
2010,  Some Pieces Were Never Meant To Fit...
1947,  WILLIAM POWELL and MYRNA LOY and me too. We're all together again in a NEW MGM mystery comedy! [me too refers to their (Nick & Noras') dog in the film]
2010,  Nothing beats a Remington to settle a score.
1993,"  (V) She has the voice, she has the body ... and now she has her way."
1998,  (VG) The Original Hero Is Back!
2001,"  (VG) Mystery Awaits In The Adventure Everyone has a dark side. Wishes are eternal Play to Save the World, or Conquer it!"
1991,  (VG) A machine dedicated to peace.
1996,  (TV) Take a Hedgehog home for the Holidays!
2006,"  (VG) This time, speed won't be enough..."
1996,  (V) Scrape Your Knuckles. Catch Some Tails.
1994,  (VG) The legendary shooting game is back! Full power! Sonic dogfight.
1995,  (VG) Get ready for another dogfight!
2009,  Requiem For A Team Sports are a business. No team is safe.
2009,"  Sonnets in the City ... Drama, passion, and youth collide with William Shakespeare."
2002,"  His life was the morning after, until he decided to change the night before."
1944,  MILE-A-MINUTE ACTION ON A THRILL-A-MINUTE STAGECOACH! (original poster - all caps) RIDE A STAGECOACH INTO DANGER PACKED SONORA! (original print media ad - all caps) VENGEANCE and VIOLENCE Quelled By VIGILENCE! (original ad) A HARD RIDIN' TRIO ...PISTOL PACKIN' PALS OF THE PEOPLE! (original ad - all caps) HERE'S A TRIO OF HARD RIDIN' BUCKAROOS...This Time Fightin' On A Mile-A-Minute Stagecoach! (original ad)
2008,  What do you do when the man tying your family together is tearing it apart?
2014,  A city spurned. A dream born. A brotherhood forged. This is the story of the Sons of Ben.
2009,  Your Choices are Their Battles
2010,  (V) One decision can change your destiny
2010,  What would you sell your soul for?
2006,"  When everything in life seems so good, how can it turn so bad"
2013,  One Man's Terrorist...is another Man's Patriot
2010,  The Story of Polygamy's Exiled Teens
2004,  The spiritual sound barrier is about to be broken.
2012,  The story of Luv & Kush like never before
2008,"  Kill to live, live to kill. For some, taking life is a way of life."
1984,  (VG) Let's go Tenjiku!
2006,  (V) Women all across Europe are eagerly waiting for someone to satisfy their sexual needs.
2011,  There is nothing to hide when silence talks.
2007,  Love Can Take Your Breath Away
2009,  The future is dangerous
2003,  its not his Name Its not her Name Its their Name
2011,  A girl uses her imagination to find hope to help her mother
2008,"  A girl's secret, everyone's secret"
2011,"  (TV) Whatever can go wrong, will go wrong."
1981,  Farsen om den andlË†sa veckan i kungariket
1995,  She gets what she wants. She keeps what she gets. She never lets go.
2009,  What would you kill for?
2007,  Between life and death is the dream
1991,"  (V) The biggest, boobiest bimbo-fest of them all!"
2002,  Look Closer (Not That Close) The only way to become one of the boys again... is to become one of the girls.
1986,  Who'll survive the final exam? A slash course in absolute terror!
2007,  Don't turn your back on the past or it may kill your future.
1983,"  ...THE NAUGHTIEST, NASTIEST BUNCH OF SHOOLGIRLS!!"
1927,  Without question this picture will take its place as one of the outstanding film successes of the year! Would you give your strength year after year---fight hardship and failure---and finally give your life---that your son might live and love! No Greater Love Than This! Too Fine for Mere Words to Describe!
